GenerationFileの情報,エージェントID,発生時刻1,発生時刻2,到着時刻1,到着時刻2,移動時間1,移動時間2
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:07:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01160,20:07:59,4079,20:22:15,4935,00:14:16,856
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:07:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01159,20:07:58,4078,20:22:17,4937,00:14:19,859
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01166,20:08:08,4088,20:22:18,4938,00:14:10,850
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:07:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01158,20:07:56,4076,20:22:20,4940,00:14:24,864
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01167,20:08:15,4095,20:22:22,4942,00:14:07,847
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01168,20:08:17,4097,20:22:23,4943,00:14:06,846
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01163,20:08:04,4084,20:22:25,4945,00:14:21,861
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01164,20:08:06,4086,20:22:26,4946,00:14:20,860
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01172,20:08:29,4109,20:22:28,4948,00:13:59,839
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01162,20:08:03,4083,20:22:30,4950,00:14:27,867
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01161,20:08:01,4081,20:22:31,4951,00:14:30,870
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01170,20:08:20,4100,20:22:33,4953,00:14:13,853
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01169,20:08:19,4099,20:22:35,4955,00:14:16,856
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01171,20:08:25,4105,20:22:36,4956,00:14:11,851
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01178,20:08:44,4124,20:22:38,4958,00:13:54,834
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01177,20:08:43,4123,20:22:45,4965,00:14:02,842
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01188,20:09:10,4150,20:22:46,4966,00:13:36,816
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01173,20:08:30,4110,20:22:48,4968,00:14:18,858
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01174,20:08:35,4115,20:22:50,4970,00:14:15,855
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01180,20:08:46,4126,20:22:52,4972,00:14:06,846
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01183,20:09:03,4143,20:22:53,4973,00:13:50,830
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01187,20:09:09,4149,20:22:55,4975,00:13:46,826
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01175,20:08:37,4117,20:22:57,4977,00:14:20,860
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01181,20:08:54,4134,20:22:58,4978,00:14:04,844
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01176,20:08:38,4118,20:23:00,4980,00:14:22,862
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01190,20:09:21,4161,20:23:01,4981,00:13:40,820
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01179,20:08:45,4125,20:23:03,4983,00:14:18,858
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:08:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01182,20:08:58,4138,20:23:05,4985,00:14:07,847
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01186,20:09:07,4147,20:23:06,4986,00:13:59,839
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01194,20:09:34,4174,20:23:08,4988,00:13:34,814
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01195,20:09:37,4177,20:23:09,4989,00:13:32,812
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01189,20:09:16,4156,20:23:11,4991,00:13:55,835
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01184,20:09:05,4145,20:23:12,4992,00:14:07,847
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01191,20:09:23,4163,20:23:14,4994,00:13:51,831
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01192,20:09:25,4165,20:23:16,4996,00:13:51,831
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01197,20:09:40,4180,20:23:17,4997,00:13:37,817
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01199,20:09:47,4187,20:23:19,4999,00:13:32,812
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01185,20:09:06,4146,20:23:20,5000,00:14:14,854
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01203,20:09:55,4195,20:23:22,5002,00:13:27,807
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01196,20:09:38,4178,20:23:23,5003,00:13:45,825
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01193,20:09:30,4170,20:23:25,5005,00:13:55,835
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01201,20:09:51,4191,20:23:26,5006,00:13:35,815
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01213,20:10:11,4211,20:23:28,5008,00:13:17,797
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01208,20:10:01,4201,20:23:29,5009,00:13:28,808
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01200,20:09:49,4189,20:23:34,5014,00:13:45,825
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01211,20:10:08,4208,20:23:36,5016,00:13:28,808
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01210,20:10:07,4207,20:23:38,5018,00:13:31,811
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01198,20:09:42,4182,20:23:40,5020,00:13:58,838
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01219,20:10:23,4223,20:23:41,5021,00:13:18,798
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01215,20:10:18,4218,20:23:43,5023,00:13:25,805
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01222,20:10:27,4227,20:23:45,5025,00:13:18,798
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01212,20:10:10,4210,20:23:47,5027,00:13:37,817
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01202,20:09:53,4193,20:23:49,5029,00:13:56,836
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01217,20:10:21,4221,20:23:50,5030,00:13:29,809
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01220,20:10:24,4224,20:23:52,5032,00:13:28,808
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:09:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01204,20:09:59,4199,20:23:54,5034,00:13:55,835
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01216,20:10:19,4219,20:23:56,5036,00:13:37,817
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01209,20:10:05,4205,20:25:25,5125,00:15:20,920
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01221,20:10:26,4226,20:25:27,5127,00:15:01,901
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01218,20:10:22,4222,20:25:29,5129,00:15:07,907
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01214,20:10:15,4215,20:25:31,5131,00:15:16,916
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01228,20:10:49,4249,20:25:33,5133,00:14:44,884
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01224,20:10:33,4233,20:25:35,5135,00:15:02,902
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01223,20:10:31,4231,20:25:36,5136,00:15:05,905
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01230,20:11:01,4261,20:25:38,5138,00:14:37,877
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01240,20:11:22,4282,20:25:40,5140,00:14:18,858
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01231,20:11:04,4264,20:25:41,5141,00:14:37,877
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01229,20:10:55,4255,20:25:43,5143,00:14:48,888
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01225,20:10:36,4236,20:25:45,5145,00:15:09,909
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01238,20:11:19,4279,20:25:46,5146,00:14:27,867
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01226,20:10:42,4242,20:25:48,5148,00:15:06,906
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01232,20:11:06,4266,20:25:49,5149,00:14:43,883
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:10:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01227,20:10:44,4244,20:25:51,5151,00:15:07,907
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01242,20:11:28,4288,20:25:53,5153,00:14:25,865
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01233,20:11:08,4268,20:25:54,5154,00:14:46,886
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01237,20:11:18,4278,20:25:56,5156,00:14:38,878
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01235,20:11:12,4272,20:25:58,5158,00:14:46,886
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01236,20:11:16,4276,20:25:59,5159,00:14:43,883
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01239,20:11:21,4281,20:26:01,5161,00:14:40,880
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01241,20:11:26,4286,20:26:02,5162,00:14:36,876
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01234,20:11:10,4270,20:26:04,5164,00:14:54,894
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01244,20:11:32,4292,20:26:05,5165,00:14:33,873
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01245,20:11:36,4296,20:26:07,5167,00:14:31,871
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:12:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01254,20:12:11,4331,20:26:09,5169,00:13:58,838
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01246,20:11:44,4304,20:26:10,5170,00:14:26,866
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01250,20:11:55,4315,20:26:12,5172,00:14:17,857
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01249,20:11:51,4311,20:26:13,5173,00:14:22,862
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01243,20:11:29,4289,20:26:15,5175,00:14:46,886
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01251,20:11:56,4316,20:26:17,5177,00:14:21,861
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:12:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01256,20:12:14,4334,20:26:18,5178,00:14:04,844
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01248,20:11:50,4310,20:26:20,5180,00:14:30,870
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:12:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01259,20:12:20,4340,20:26:21,5181,00:14:01,841
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:12:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01260,20:12:22,4342,20:26:23,5183,00:14:01,841
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:11:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01247,20:11:48,4308,20:26:24,5184,00:14:36,876
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:12:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01253,20:12:08,4328,20:26:26,5186,00:14:18,858
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:12:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01258,20:12:19,4339,20:26:27,5187,00:14:08,848
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:12:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01252,20:12:07,4327,20:26:29,5189,00:14:22,862
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:12:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01262,20:12:26,4346,20:26:31,5191,00:14:05,845
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:12:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01272,20:12:52,4372,20:26:32,5192,00:13:40,820
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:12:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01255,20:12:13,4333,20:26:34,5194,00:14:21,861
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:12:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01261,20:12:25,4345,20:26:35,5195,00:14:10,850
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:12:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01267,20:12:37,4357,20:26:37,5197,00:14:00,840
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:12:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01268,20:12:40,4360,20:26:38,5198,00:13:58,838
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"20:12:00" "total":22 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag01269,20:12:46,4366,20:26:40,5200,00:13:54,834
